-------- day 0 --------
name, sellIn, quality
Sulfuras, -1, 80
Pases de Backstage, 5, 35
Pases de Backstage, 0, 50
Pases de Backstage, -5, 0

-------- day 11 --------
name, sellIn, quality
Chaleco de Invisibilidad, -1, 8
Queso Brie Añejado, -9, 20
Elixir of the Mongoose, -6, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 4, 38
Pases de Backstage, -1, 0
Pases de Backstage, -6, 0

-------- day 12 --------
name, sellIn, quality
Chaleco de Invisibilidad, -2, 6
Queso Brie Añejado, -10, 22
Elixir of the Mongoose, -7, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 3, 41
Pases de Backstage, -2, 0
Pases de Backstage, -7, 0

-------- day 13 --------
name, sellIn, quality
Chaleco de Invisibilidad, -3, 4
Queso Brie Añejado, -11, 24
Elixir of the Mongoose, -8, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 2, 44
Pases de Backstage, -3, 0
Pases de Backstage, -8, 0

-------- day 14 --------
name, sellIn, quality
Chaleco de Invisibilidad, -4, 2
Queso Brie Añejado, -12, 26
Elixir of the Mongoose, -9, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 1, 47
Pases de Backstage, -4, 0
Pases de Backstage, -9, 0

-------- day 15 --------
name, sellIn, quality
Chaleco de Invisibilidad, -5, 0
Queso Brie Añejado, -13, 28
Elixir of the Mongoose, -10, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, 0, 50
Pases de Backstage, -5, 0
Pases de Backstage, -10, 0

-------- day 16 --------
name, sellIn, quality
Chaleco de Invisibilidad, -6, 0
Queso Brie Añejado, -14, 30
Elixir of the Mongoose, -11, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -1, 0
Pases de Backstage, -6, 0
Pases de Backstage, -11, 0

-------- day 17 --------
name, sellIn, quality
Chaleco de Invisibilidad, -7, 0
Queso Brie Añejado, -15, 32
Elixir of the Mongoose, -12, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -2, 0
Pases de Backstage, -7, 0
Pases de Backstage, -12, 0

-------- day 18 --------
name, sellIn, quality
Chaleco de Invisibilidad, -8, 0
Queso Brie Añejado, -16, 34
Elixir of the Mongoose, -13, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -3, 0
Pases de Backstage, -8, 0
Pases de Backstage, -13, 0

-------- day 19 --------
name, sellIn, quality
Chaleco de Invisibilidad, -9, 0
Queso Brie Añejado, -17, 36
Elixir of the Mongoose, -14, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -4, 0
Pases de Backstage, -9, 0
Pases de Backstage, -14, 0

-------- day 20 --------
name, sellIn, quality
Chaleco de Invisibilidad, -10, 0
Queso Brie Añejado, -18, 38
Elixir of the Mongoose, -15, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -5, 0
Pases de Backstage, -10, 0
Pases de Backstage, -15, 0

-------- day 21 --------
name, sellIn, quality
Chaleco de Invisibilidad, -11, 0
Queso Brie Añejado, -19, 40
Elixir of the Mongoose, -16, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -6, 0
Pases de Backstage, -11, 0
Pases de Backstage, -16, 0

-------- day 22 --------
name, sellIn, quality
Chaleco de Invisibilidad, -12, 0
Queso Brie Añejado, -20, 42
Elixir of the Mongoose, -17, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -7, 0
Pases de Backstage, -12, 0
Pases de Backstage, -17, 0

-------- day 23 --------
name, sellIn, quality
Chaleco de Invisibilidad, -13, 0
Queso Brie Añejado, -21, 44
Elixir of the Mongoose, -18, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -8, 0
Pases de Backstage, -13, 0
Pases de Backstage, -18, 0

-------- day 24 --------
name, sellIn, quality
Chaleco de Invisibilidad, -14, 0
Queso Brie Añejado, -22, 46
Elixir of the Mongoose, -19, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -9, 0
Pases de Backstage, -14, 0
Pases de Backstage, -19, 0

-------- day 25 --------
name, sellIn, quality
Chaleco de Invisibilidad, -15, 0
Queso Brie Añejado, -23, 48
Elixir of the Mongoose, -20, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -10, 0
Pases de Backstage, -15, 0
Pases de Backstage, -20, 0

-------- day 26 --------
name, sellIn, quality
Chaleco de Invisibilidad, -16, 0
Queso Brie Añejado, -24, 50
Elixir of the Mongoose, -21, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -11, 0
Pases de Backstage, -16, 0
Pases de Backstage, -21, 0

-------- day 27 --------
name, sellIn, quality
Chaleco de Invisibilidad, -17, 0
Queso Brie Añejado, -25, 50
Elixir of the Mongoose, -22, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -12, 0
Pases de Backstage, -17, 0
Pases de Backstage, -22, 0

-------- day 28 --------
name, sellIn, quality
Chaleco de Invisibilidad, -18, 0
Queso Brie Añejado, -26, 50
Elixir of the Mongoose, -23, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -13, 0
Pases de Backstage, -18, 0
Pases de Backstage, -23, 0

-------- day 29 --------
name, sellIn, quality
Chaleco de Invisibilidad, -19, 0
Queso Brie Añejado, -27, 50
Elixir of the Mongoose, -24, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -14, 0
Pases de Backstage, -19, 0
Pases de Backstage, -24, 0

-------- day 30 --------
name, sellIn, quality
Chaleco de Invisibilidad, -20, 0
Queso Brie Añejado, -28, 50
Elixir of the Mongoose, -25, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -15, 0
Pases de Backstage, -20, 0
Pases de Backstage, -25, 0

-------- day 31 --------
name, sellIn, quality
Chaleco de Invisibilidad, -21, 0
Queso Brie Añejado, -29, 50
Elixir of the Mongoose, -26, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -16, 0
Pases de Backstage, -21, 0
Pases de Backstage, -26, 0

-------- day 32 --------
name, sellIn, quality
Chaleco de Invisibilidad, -22, 0
Queso Brie Añejado, -30, 50
Elixir of the Mongoose, -27, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -17, 0
Pases de Backstage, -22, 0
Pases de Backstage, -27, 0

-------- day 33 --------
name, sellIn, quality
Chaleco de Invisibilidad, -23, 0
Queso Brie Añejado, -31, 50
Elixir of the Mongoose, -28, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -18, 0
Pases de Backstage, -23, 0
Pases de Backstage, -28, 0

-------- day 34 --------
name, sellIn, quality
Chaleco de Invisibilidad, -24, 0
Queso Brie Añejado, -32, 50
Elixir of the Mongoose, -29, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -19, 0
Pases de Backstage, -24, 0
Pases de Backstage, -29, 0

-------- day 35 --------
name, sellIn, quality
Chaleco de Invisibilidad, -25, 0
Queso Brie Añejado, -33, 50
Elixir of the Mongoose, -30, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -20, 0
Pases de Backstage, -25, 0
Pases de Backstage, -30, 0

-------- day 36 --------
name, sellIn, quality
Chaleco de Invisibilidad, -26, 0
Queso Brie Añejado, -34, 50
Elixir of the Mongoose, -31, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -21, 0
Pases de Backstage, -26, 0
Pases de Backstage, -31, 0

-------- day 37 --------
name, sellIn, quality
Chaleco de Invisibilidad, -27, 0
Queso Brie Añejado, -35, 50
Elixir of the Mongoose, -32, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -22, 0
Pases de Backstage, -27, 0
Pases de Backstage, -32, 0

-------- day 38 --------
name, sellIn, quality
Chaleco de Invisibilidad, -28, 0
Queso Brie Añejado, -36, 50
Elixir of the Mongoose, -33, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -23, 0
Pases de Backstage, -28, 0
Pases de Backstage, -33, 0

-------- day 39 --------
name, sellIn, quality
Chaleco de Invisibilidad, -29, 0
Queso Brie Añejado, -37, 50
Elixir of the Mongoose, -34, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -24, 0
Pases de Backstage, -29, 0
Pases de Backstage, -34, 0

-------- day 40 --------
name, sellIn, quality
Chaleco de Invisibilidad, -30, 0
Queso Brie Añejado, -38, 50
Elixir of the Mongoose, -35, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -25, 0
Pases de Backstage, -30, 0
Pases de Backstage, -35, 0

-------- day 41 --------
name, sellIn, quality
Chaleco de Invisibilidad, -31, 0
Queso Brie Añejado, -39, 50
Elixir of the Mongoose, -36, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -26, 0
Pases de Backstage, -31, 0
Pases de Backstage, -36, 0

-------- day 42 --------
name, sellIn, quality
Chaleco de Invisibilidad, -32, 0
Queso Brie Añejado, -40, 50
Elixir of the Mongoose, -37, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -27, 0
Pases de Backstage, -32, 0
Pases de Backstage, -37, 0

-------- day 43 --------
name, sellIn, quality
Chaleco de Invisibilidad, -33, 0
Queso Brie Añejado, -41, 50
Elixir of the Mongoose, -38, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -28, 0
Pases de Backstage, -33, 0
Pases de Backstage, -38, 0

-------- day 44 --------
name, sellIn, quality
Chaleco de Invisibilidad, -34, 0
Queso Brie Añejado, -42, 50
Elixir of the Mongoose, -39, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -29, 0
Pases de Backstage, -34, 0
Pases de Backstage, -39, 0

-------- day 45 --------
name, sellIn, quality
Chaleco de Invisibilidad, -35, 0
Queso Brie Añejado, -43, 50
Elixir of the Mongoose, -40, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -30, 0
Pases de Backstage, -35, 0
Pases de Backstage, -40, 0

-------- day 46 --------
name, sellIn, quality
Chaleco de Invisibilidad, -36, 0
Queso Brie Añejado, -44, 50
Elixir of the Mongoose, -41, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -31, 0
Pases de Backstage, -36, 0
Pases de Backstage, -41, 0

-------- day 47 --------
name, sellIn, quality
Chaleco de Invisibilidad, -37, 0
Queso Brie Añejado, -45, 50
Elixir of the Mongoose, -42, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -32, 0
Pases de Backstage, -37, 0
Pases de Backstage, -42, 0

-------- day 48 --------
name, sellIn, quality
Chaleco de Invisibilidad, -38, 0
Queso Brie Añejado, -46, 50
Elixir of the Mongoose, -43, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -33, 0
Pases de Backstage, -38, 0
Pases de Backstage, -43, 0

-------- day 49 --------
name, sellIn, quality
Chaleco de Invisibilidad, -39, 0
Queso Brie Añejado, -47, 50
Elixir of the Mongoose, -44, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -34, 0
Pases de Backstage, -39, 0
Pases de Backstage, -44, 0

-------- day 50 --------
name, sellIn, quality
Chaleco de Invisibilidad, -40, 0
Queso Brie Añejado, -48, 50
Elixir of the Mongoose, -45, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -35, 0
Pases de Backstage, -40, 0
Pases de Backstage, -45, 0

-------- day 51 --------
name, sellIn, quality
Chaleco de Invisibilidad, -41, 0
Queso Brie Añejado, -49, 50
Elixir of the Mongoose, -46, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -36, 0
Pases de Backstage, -41, 0
Pases de Backstage, -46, 0

-------- day 52 --------
name, sellIn, quality
Chaleco de Invisibilidad, -42, 0
Queso Brie Añejado, -50, 50
Elixir of the Mongoose, -47, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -37, 0
Pases de Backstage, -42, 0
Pases de Backstage, -47, 0

-------- day 53 --------
name, sellIn, quality
Chaleco de Invisibilidad, -43, 0
Queso Brie Añejado, -51, 50
Elixir of the Mongoose, -48, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -38, 0
Pases de Backstage, -43, 0
Pases de Backstage, -48, 0

-------- day 54 --------
name, sellIn, quality
Chaleco de Invisibilidad, -44, 0
Queso Brie Añejado, -52, 50
Elixir of the Mongoose, -49, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -39, 0
Pases de Backstage, -44, 0
Pases de Backstage, -49, 0

-------- day 55 --------
name, sellIn, quality
Chaleco de Invisibilidad, -45, 0
Queso Brie Añejado, -53, 50
Elixir of the Mongoose, -50, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -40, 0
Pases de Backstage, -45, 0
Pases de Backstage, -50, 0

-------- day 56 --------
name, sellIn, quality
Chaleco de Invisibilidad, -46, 0
Queso Brie Añejado, -54, 50
Elixir of the Mongoose, -51, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -41, 0
Pases de Backstage, -46, 0
Pases de Backstage, -51, 0

-------- day 57 --------
name, sellIn, quality
Chaleco de Invisibilidad, -47, 0
Queso Brie Añejado, -55, 50
Elixir of the Mongoose, -52, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -42, 0
Pases de Backstage, -47, 0
Pases de Backstage, -52, 0

-------- day 58 --------
name, sellIn, quality
Chaleco de Invisibilidad, -48, 0
Queso Brie Añejado, -56, 50
Elixir of the Mongoose, -53, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -43, 0
Pases de Backstage, -48, 0
Pases de Backstage, -53, 0

-------- day 59 --------
name, sellIn, quality
Chaleco de Invisibilidad, -49, 0
Queso Brie Añejado, -57, 50
Elixir of the Mongoose, -54, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -44, 0
Pases de Backstage, -49, 0
Pases de Backstage, -54, 0

-------- day 60 --------
name, sellIn, quality
Chaleco de Invisibilidad, -50, 0
Queso Brie Añejado, -58, 50
Elixir of the Mongoose, -55, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -45, 0
Pases de Backstage, -50, 0
Pases de Backstage, -55, 0

-------- day 61 --------
name, sellIn, quality
Chaleco de Invisibilidad, -51, 0
Queso Brie Añejado, -59, 50
Elixir of the Mongoose, -56, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -46, 0
Pases de Backstage, -51, 0
Pases de Backstage, -56, 0

-------- day 62 --------
name, sellIn, quality
Chaleco de Invisibilidad, -52, 0
Queso Brie Añejado, -60, 50
Elixir of the Mongoose, -57, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -47, 0
Pases de Backstage, -52, 0
Pases de Backstage, -57, 0

-------- day 63 --------
name, sellIn, quality
Chaleco de Invisibilidad, -53, 0
Queso Brie Añejado, -61, 50
Elixir of the Mongoose, -58, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -48, 0
Pases de Backstage, -53, 0
Pases de Backstage, -58, 0

-------- day 64 --------
name, sellIn, quality
Chaleco de Invisibilidad, -54, 0
Queso Brie Añejado, -62, 50
Elixir of the Mongoose, -59, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -49, 0
Pases de Backstage, -54, 0
Pases de Backstage, -59, 0

-------- day 65 --------
name, sellIn, quality
Chaleco de Invisibilidad, -55, 0
Queso Brie Añejado, -63, 50
Elixir of the Mongoose, -60, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -50, 0
Pases de Backstage, -55, 0
Pases de Backstage, -60, 0

-------- day 66 --------
name, sellIn, quality
Chaleco de Invisibilidad, -56, 0
Queso Brie Añejado, -64, 50
Elixir of the Mongoose, -61, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -51, 0
Pases de Backstage, -56, 0
Pases de Backstage, -61, 0

-------- day 67 --------
name, sellIn, quality
Chaleco de Invisibilidad, -57, 0
Queso Brie Añejado, -65, 50
Elixir of the Mongoose, -62, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -52, 0
Pases de Backstage, -57, 0
Pases de Backstage, -62, 0

-------- day 68 --------
name, sellIn, quality
Chaleco de Invisibilidad, -58, 0
Queso Brie Añejado, -66, 50
Elixir of the Mongoose, -63, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -53, 0
Pases de Backstage, -58, 0
Pases de Backstage, -63, 0

-------- day 69 --------
name, sellIn, quality
Chaleco de Invisibilidad, -59, 0
Queso Brie Añejado, -67, 50
Elixir of the Mongoose, -64, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -54, 0
Pases de Backstage, -59, 0
Pases de Backstage, -64, 0

-------- day 70 --------
name, sellIn, quality
Chaleco de Invisibilidad, -60, 0
Queso Brie Añejado, -68, 50
Elixir of the Mongoose, -65, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -55, 0
Pases de Backstage, -60, 0
Pases de Backstage, -65, 0

-------- day 71 --------
name, sellIn, quality
Chaleco de Invisibilidad, -61, 0
Queso Brie Añejado, -69, 50
Elixir of the Mongoose, -66, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -56, 0
Pases de Backstage, -61, 0
Pases de Backstage, -66, 0

-------- day 72 --------
name, sellIn, quality
Chaleco de Invisibilidad, -62, 0
Queso Brie Añejado, -70, 50
Elixir of the Mongoose, -67, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -57, 0
Pases de Backstage, -62, 0
Pases de Backstage, -67, 0

-------- day 73 --------
name, sellIn, quality
Chaleco de Invisibilidad, -63, 0
Queso Brie Añejado, -71, 50
Elixir of the Mongoose, -68, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -58, 0
Pases de Backstage, -63, 0
Pases de Backstage, -68, 0

-------- day 74 --------
name, sellIn, quality
Chaleco de Invisibilidad, -64, 0
Queso Brie Añejado, -72, 50
Elixir of the Mongoose, -69, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -59, 0
Pases de Backstage, -64, 0
Pases de Backstage, -69, 0

-------- day 75 --------
name, sellIn, quality
Chaleco de Invisibilidad, -65, 0
Queso Brie Añejado, -73, 50
Elixir of the Mongoose, -70, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -60, 0
Pases de Backstage, -65, 0
Pases de Backstage, -70, 0

-------- day 76 --------
name, sellIn, quality
Chaleco de Invisibilidad, -66, 0
Queso Brie Añejado, -74, 50
Elixir of the Mongoose, -71, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -61, 0
Pases de Backstage, -66, 0
Pases de Backstage, -71, 0

-------- day 77 --------
name, sellIn, quality
Chaleco de Invisibilidad, -67, 0
Queso Brie Añejado, -75, 50
Elixir of the Mongoose, -72, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -62, 0
Pases de Backstage, -67, 0
Pases de Backstage, -72, 0

-------- day 78 --------
name, sellIn, quality
Chaleco de Invisibilidad, -68, 0
Queso Brie Añejado, -76, 50
Elixir of the Mongoose, -73, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -63, 0
Pases de Backstage, -68, 0
Pases de Backstage, -73, 0

-------- day 79 --------
name, sellIn, quality
Chaleco de Invisibilidad, -69, 0
Queso Brie Añejado, -77, 50
Elixir of the Mongoose, -74, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -64, 0
Pases de Backstage, -69, 0
Pases de Backstage, -74, 0

-------- day 80 --------
name, sellIn, quality
Chaleco de Invisibilidad, -70, 0
Queso Brie Añejado, -78, 50
Elixir of the Mongoose, -75, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -65, 0
Pases de Backstage, -70, 0
Pases de Backstage, -75, 0

-------- day 81 --------
name, sellIn, quality
Chaleco de Invisibilidad, -71, 0
Queso Brie Añejado, -79, 50
Elixir of the Mongoose, -76, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -66, 0
Pases de Backstage, -71, 0
Pases de Backstage, -76, 0

-------- day 82 --------
name, sellIn, quality
Chaleco de Invisibilidad, -72, 0
Queso Brie Añejado, -80, 50
Elixir of the Mongoose, -77, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -67, 0
Pases de Backstage, -72, 0
Pases de Backstage, -77, 0

-------- day 83 --------
name, sellIn, quality
Chaleco de Invisibilidad, -73, 0
Queso Brie Añejado, -81, 50
Elixir of the Mongoose, -78, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -68, 0
Pases de Backstage, -73, 0
Pases de Backstage, -78, 0

-------- day 84 --------
name, sellIn, quality
Chaleco de Invisibilidad, -74, 0
Queso Brie Añejado, -82, 50
Elixir of the Mongoose, -79, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -69, 0
Pases de Backstage, -74, 0
Pases de Backstage, -79, 0

-------- day 85 --------
name, sellIn, quality
Chaleco de Invisibilidad, -75, 0
Queso Brie Añejado, -83, 50
Elixir of the Mongoose, -80, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -70, 0
Pases de Backstage, -75, 0
Pases de Backstage, -80, 0

-------- day 86 --------
name, sellIn, quality
Chaleco de Invisibilidad, -76, 0
Queso Brie Añejado, -84, 50
Elixir of the Mongoose, -81, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -71, 0
Pases de Backstage, -76, 0
Pases de Backstage, -81, 0

-------- day 87 --------
name, sellIn, quality
Chaleco de Invisibilidad, -77, 0
Queso Brie Añejado, -85, 50
Elixir of the Mongoose, -82, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -72, 0
Pases de Backstage, -77, 0
Pases de Backstage, -82, 0

-------- day 88 --------
name, sellIn, quality
Chaleco de Invisibilidad, -78, 0
Queso Brie Añejado, -86, 50
Elixir of the Mongoose, -83, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -73, 0
Pases de Backstage, -78, 0
Pases de Backstage, -83, 0

-------- day 89 --------
name, sellIn, quality
Chaleco de Invisibilidad, -79, 0
Queso Brie Añejado, -87, 50
Elixir of the Mongoose, -84, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -74, 0
Pases de Backstage, -79, 0
Pases de Backstage, -84, 0

-------- day 90 --------
name, sellIn, quality
Chaleco de Invisibilidad, -80, 0
Queso Brie Añejado, -88, 50
Elixir of the Mongoose, -85, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -75, 0
Pases de Backstage, -80, 0
Pases de Backstage, -85, 0

-------- day 91 --------
name, sellIn, quality
Chaleco de Invisibilidad, -81, 0
Queso Brie Añejado, -89, 50
Elixir of the Mongoose, -86, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -76, 0
Pases de Backstage, -81, 0
Pases de Backstage, -86, 0

-------- day 92 --------
name, sellIn, quality
Chaleco de Invisibilidad, -82, 0
Queso Brie Añejado, -90, 50
Elixir of the Mongoose, -87, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -77, 0
Pases de Backstage, -82, 0
Pases de Backstage, -87, 0

-------- day 93 --------
name, sellIn, quality
Chaleco de Invisibilidad, -83, 0
Queso Brie Añejado, -91, 50
Elixir of the Mongoose, -88, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -78, 0
Pases de Backstage, -83, 0
Pases de Backstage, -88, 0

-------- day 94 --------
name, sellIn, quality
Chaleco de Invisibilidad, -84, 0
Queso Brie Añejado, -92, 50
Elixir of the Mongoose, -89, 0
Sulfuras, 0, 80
Sulfuras, -1, 80
Pases de Backstage, -79, 0
Pases de Backstage, -84, 0
Pases de Backstage, -89, 0

-------- day 95 --------
